id;name
dd89c782-b725-4d86-ab6e-b5053c0c1ea8;withdrawal
cd566bb4-7295-4b12-82e7-63b3dc50b167;Rupee neural reboot
2eb49baa-30e0-489e-8101-7006e10b533e;payment
cfe1203f-f6f8-43d8-a3a9-6e9ec1e54c34;deposit syndicate foreground
8dc73804-e431-44e0-bc7f-d07aaaba9b94;blue SAS
664a438a-385f-4b4a-974c-936b6430ee18;systematic
2117e4fb-b161-4778-99d6-f5d13c9af4cc;Visionary Mississippi
01bf534c-8e3f-45b8-9818-b081497e09c0;Practical
58b387b9-aeb1-4480-a043-3820e92a97c1;Forge
70fa412f-794f-4ada-a490-7b99be07d7a9;parse Global Peso
