id;name
a47458ea-855a-4714-9930-5daa7851a5c7;Borders
b8feb814-18f9-4e4b-9237-d75cd6729e2e;application Corporate web-enabled
46a6b954-772e-4992-8a3f-75280a007fc4;Multi-channelled
262c9f5b-16cd-4a80-9f62-f74349a415fa;pixel Metal Account
ca925dcf-fc0c-43ca-a6e9-a4250db0b4d0;parse
cd945ae6-6360-49d8-b8c9-cf31be020a7a;Metal De-engineered Frozen
f69c2b7f-25b6-4cbb-89c5-1f68f78f926b;Sports plug-and-play
8ee17918-40fc-4bf7-a582-730151e6ea67;Home
e4170582-12f9-414a-91a4-cde20f9b7c81;Metal open-source Program
9d7096e0-f60d-436a-9f96-c2bf49dc58d2;Baby
